id,name,age,points,hand,backhand,height,weight
g0ao,Alastair Gray,26,115,R,1,193,83
p0gn,Tom Paris,22,114,R,1,191,83
m0np,Andres Martin,23,114,R,2,183,79
s0tx,Henry Searle,19,113,L,2,193,85
v821,Gonzalo Villanueva,30,113,R,2,175,70
pj74,Lucas Poullain,29,113,R,2,175,68
pl39,Alfredo Perez,27,112,R,2,193,79
l0dm,Alejo Lorenzo Lingua Lavallen,24,112,L,2,175,75
kd87,Evgeny Karlovskiy,30,112,R,2,191,86
b0bu,Florent Bax,25,112,R,2,185,78
b0fi,Pedro Boscardin Dias,22,112,R,2,180,75
b0j8,Micah Braswell,23,111,R,2,183,75
k0cj,Sandro Kopp,24,111,R,2,185,78
s0bt,Adria Soriano Barrera,25,111,R,2,191,82
s0dl,Ryan Seggerman,25,110,R,0,193,95
p0i6,Gabriele Piraino,21,110,L,0,188,78
aa27,Franco Agamenone,32,110,R,2,191,80
d0d4,Stefan Dostanic,23,109,R,2,188,79
pg94,Marc Polmans,27,109,R,2,188,78
ke69,Mariano Kestelboim,29,109,R,2,185,78
kh56,Zdenek Kolar,28,109,R,2,183,79
k0hg,Milos Karol,22,109,R,2,198,90
p0bk,Stuart Parker,27,108,R,2,185,78
d0cn,Miguel Damas,25,108,R,2,208,84
n663,Maximilian Neuchrist,33,107,R,2,None,None
a0ea,Max Alcala Gurri,22,106,R,2,178,68
j0d2,Maximus Jones,20,106,R,2,185,86
p0hp,Lukas Pokorny,23,106,R,2,191,83
ch27,Hyeon Chung,28,105,R,2,188,89
cf88,Roberto Cid Subervi,31,105,R,2,193,82
mi01,Hiroki Moriya,34,105,R,2,168,65
p0g5,Stefan Popovic,21,104,R,2,178,73
sm37,Diego Schwartzman,32,103,R,2,170,64
wb19,Alexander Weis,27,103,R,2,188,83
n0cj,Petr Nesterov,22,103,R,2,0,78
h0dc,Giles Hussey,27,102,L,2,185,75
mn20,Daniel Masur,30,102,R,2,183,78
v0di,Samuel Vincent Ruggeri,22,101,R,2,191,85
wb32,Yibing Wu,25,100,R,2,183,80
n679,Stefano Napolitano,30,100,R,2,196,90
r975,Milos Raonic,34,100,R,2,196,98
f0dm,Arthur Fery,22,100,R,2,175,76
k0a3,Patrick Kypson,25,100,R,2,188,82
p0fy,Alessandro Pecci,24,99,R,2,198,95
a0g7,Valerio Aboian,22,99,L,2,183,73
ml57,Gianluca Mager,30,98,R,2,188,77
mp13,Mukund Sasikumar,28,98,R,2,185,78
u176,Vadym Ursu,28,98,R,2,183,71
m0fa,Anton Matusevich,23,97,R,2,185,86
h0a4,Nick Hardt,24,97,R,2,185,85
t0iz,Alvin Nicholas Tudorica,23,97,L,2,178,75
f0a3,Sergey Fomin,24,97,R,2,180,None
g0ib,Tom Gentzsch,21,96,R,2,191,85
b0gi,Alexandr Binda,23,96,R,2,180,68
kc29,Nicolas Kicker,32,95,R,1,178,75
m0nl,Inaki Montes-De La Torre,22,95,R,2,178,79
a09w,Juan Carlos Aguilar,26,94,R,2,168,64
dh55,Michiel De Krom,26,94,L,1,157,120
lc12,Laurent Lokoli,30,93,R,2,188,78
td47,Evgenii Tiurnev,28,93,R,2,191,85
c0nn,Gianluca Cadenasso,20,93,R,2,175,70
s0w8,Aryan Shah,19,93,R,2,173,78
ki74,Nicola Kuhn,25,92,R,2,185,80
rg42,Alex Rybakov,28,92,L,1,185,77
k0dp,Oleksii Krutykh,25,92,R,2,185,78
r0dc,Ajeet Rai,26,91,R,2,188,72
bp74,Aleksandre Bakshi,27,91,L,2,180,73
mm79,Blake Mott,28,90,R,2,180,77
ea13,Moez Echargui,32,90,R,2,178,72
dc38,Jake Delaney,27,90,R,2,185,81
e873,Ernesto Escobedo,28,89,R,2,185,82
i0ax,Kokoro Isomura,22,89,R,2,175,72
m0cw,Aidan McHugh,24,88,R,1,180,70
a0i1,Bor Artnak,20,88,R,2,193,78
c0bb,Tommaso Compagnucci,25,88,R,2,173,65
c0i4,Tibo Colson,24,88,R,2,196,93
tf58,Yusuke Takahashi,27,88,R,2,170,68
