tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
301,ms010,Auckland,Hard,cf59,3,91,3,0,69,51,37,11,10,2,2,6,3,59,35,24,12,10,2,5
301,ms009,Auckland,Hard,bt72,3,151,6,0,111,75,47,19,16,4,8,4,3,102,63,41,20,16,5,10
301,ms014,Auckland,Hard,m0qi,3,117,1,2,70,50,39,11,10,3,3,6,1,89,71,45,8,10,8,10
301,ms011,Auckland,Hard,bu13,3,81,7,2,47,26,21,12,9,3,5,3,6,69,34,19,13,8,7,12
301,ms012,Auckland,Hard,mc65,3,88,14,4,62,41,37,10,10,1,1,5,2,56,28,20,16,9,0,2
301,ms023,Auckland,Hard,n0bg,3,45,4,2,36,22,19,5,5,2,2,1,2,29,14,7,8,5,1,3
301,ms030,Auckland,Hard,b0nn,3,69,6,0,51,36,25,11,8,2,2,6,2,52,34,19,7,8,5,9
301,ms026,Auckland,Hard,d0cg,3,82,1,5,54,40,28,5,9,3,5,1,1,50,33,19,4,8,5,10
301,ms017,Auckland,Hard,m0ni,3,131,18,2,88,55,45,18,15,1,2,3,3,100,63,45,17,15,4,7
301,ms025,Auckland,Hard,mc65,3,144,8,3,86,51,38,17,15,1,5,1,3,83,58,41,15,13,3,5
301,ms018,Auckland,Hard,n0bs,3,187,5,7,116,72,51,21,16,3,7,3,4,112,58,35,29,15,10,16
301,ms029,Auckland,Hard,su87,3,178,4,2,116,85,58,22,16,10,13,8,3,108,77,60,18,16,3,4
301,ms024,Auckland,Hard,sl28,3,81,13,1,50,31,26,12,10,0,1,6,1,73,45,29,11,9,8,11
301,ms019,Auckland,Hard,bt72,3,122,1,1,86,59,41,18,16,2,5,8,5,97,55,36,24,17,2,7
301,ms028,Auckland,Hard,m0qi,3,160,6,2,104,73,53,13,15,7,10,0,3,111,78,48,11,15,7,13
301,ms022,Auckland,Hard,bu13,3,88,9,2,70,38,32,16,11,3,4,1,2,53,35,22,10,10,1,4
301,ms021,Auckland,Hard,cf59,3,158,4,2,86,55,39,19,15,4,7,7,2,111,70,49,13,15,13,17
301,qs004,Auckland,Hard,n897,3,107,2,0,74,47,33,12,11,7,10,5,2,66,37,22,15,10,5,9
301,qs005,Auckland,Hard,bu13,3,138,5,3,81,52,36,15,14,3,6,5,6,96,60,38,17,14,6,10
301,qs006,Auckland,Hard,n0bg,3,154,5,6,92,56,50,17,16,1,2,2,2,105,71,49,19,16,3,7
301,qs007,Auckland,Hard,b0nn,3,62,1,0,39,20,19,13,8,0,0,6,0,48,32,19,5,7,2,6
301,qs008,Auckland,Hard,me82,3,81,4,3,59,31,22,18,10,3,4,2,5,61,38,27,9,10,3,6
301,qs010,Auckland,Hard,bu13,3,155,11,1,107,71,49,17,15,11,15,1,2,102,72,49,14,15,6,9
301,qs012,Auckland,Hard,d0cg,3,75,2,1,47,33,26,8,9,2,3,3,5,57,32,22,9,9,3,7
301,qs014,Auckland,Hard,b0nn,3,173,6,8,116,66,50,25,17,5,7,13,8,112,67,46,23,16,4,8
301,qs011,Auckland,Hard,c0df,3,123,7,4,113,75,57,15,15,7,8,5,7,92,49,33,19,13,5,9
301,qs015,Auckland,Hard,ae14,3,91,10,6,80,49,38,9,10,8,10,2,5,54,38,22,4,9,5,10
301,qs013,Auckland,Hard,n0bg,3,124,15,3,83,54,45,15,15,0,1,4,5,107,66,44,19,15,11,15
301,qs009,Auckland,Hard,n897,3,114,2,1,66,38,26,18,11,3,5,2,2,76,56,33,10,12,2,6
580,ms001,Australian Open,Hard,s0ag,5,None,6,2,95,57,48,23,0,0,0,12,2,95,65,45,15,0,8,10
580,ms002,Australian Open,Hard,s0ag,5,None,8,0,89,50,37,24,0,5,7,7,6,118,73,40,22,0,7,13
580,ms003,Australian Open,Hard,z355,5,None,8,1,38,29,24,7,0,3,3,5,0,54,29,21,15,0,5,5
580,ms004,Australian Open,Hard,s0ag,5,None,2,0,59,39,33,16,0,1,1,2,1,78,40,26,15,0,4,10
580,ms005,Australian Open,Hard,s0s1,5,None,9,5,141,101,76,22,0,6,8,3,1,153,102,72,27,0,8,11
580,ms007,Australian Open,Hard,z355,5,None,7,5,135,94,67,21,0,7,11,8,2,118,78,52,20,0,3,7
580,ms006,Australian Open,Hard,d643,5,None,5,3,136,86,55,28,0,7,11,9,2,125,93,62,11,0,7,13
580,ms015,Australian Open,Hard,z355,5,None,19,3,86,61,51,12,0,5,7,12,3,104,74,51,7,0,10,16
580,ms013,Australian Open,Hard,a0e2,5,None,6,5,59,40,33,7,0,2,3,5,2,68,41,22,12,0,8,12
580,ms012,Australian Open,Hard,d643,5,None,4,1,46,28,21,13,0,1,1,4,2,55,29,22,11,0,6,8
580,ms014,Australian Open,Hard,pl56,5,None,8,0,67,45,38,11,0,3,3,2,0,61,39,18,8,0,6,13
580,ms016,Australian Open,Hard,s0ag,5,None,8,2,83,53,42,15,0,6,7,2,2,82,57,37,7,0,5,10
580,ms020,Australian Open,Hard,mc65,5,None,24,4,121,81,67,25,0,3,4,12,0,130,98,74,16,0,4,6
580,ms019,Australian Open,Hard,dh58,5,None,7,9,137,70,49,37,0,4,9,5,6,152,82,52,32,0,9,16
580,ms017,Australian Open,Hard,r0dg,5,None,16,5,158,109,81,19,0,3,8,4,6,149,106,73,20,0,8,15
580,ms021,Australian Open,Hard,s0s1,5,None,11,2,119,84,68,15,0,4,6,2,3,116,70,52,27,0,3,6
580,ms018,Australian Open,Hard,m0qi,5,None,8,4,99,64,46,21,0,2,3,14,1,83,52,38,15,0,0,4
580,ms022,Australian Open,Hard,su87,5,None,15,2,130,81,69,25,0,5,5,8,4,134,87,63,23,0,11,15
580,ms023,Australian Open,Hard,t0ha,5,None,1,5,107,74,52,17,0,10,13,3,2,107,81,48,12,0,9,15
580,ms031,Australian Open,Hard,z355,5,None,7,0,81,58,46,11,0,4,6,6,0,79,54,34,11,0,7,12
580,ms027,Australian Open,Hard,a0e2,5,None,9,3,109,68,57,23,0,3,3,3,1,137,97,62,21,0,8,13
580,ms024,Australian Open,Hard,d643,5,None,9,3,79,51,41,15,0,2,3,4,5,87,55,35,12,0,10,15
580,ms029,Australian Open,Hard,pl56,5,None,7,2,86,47,37,20,0,3,5,3,9,98,53,36,10,0,9,16
580,ms030,Australian Open,Hard,hh26,5,None,3,5,102,65,50,14,0,4,7,6,2,101,62,42,18,0,5,10
580,ms026,Australian Open,Hard,d0co,5,None,28,3,164,112,84,26,0,8,14,22,3,188,121,94,27,0,14,18
580,ms025,Australian Open,Hard,l0bv,5,None,9,1,76,52,42,14,0,2,2,1,2,85,48,28,20,0,3,8
580,ms028,Australian Open,Hard,dh50,5,None,4,3,156,108,74,24,0,17,22,16,7,142,83,67,24,0,3,9
